# Credits to https://github.com/JeffSackmann/tennis_wta
Id,First Name,Last Name,Country
200683,Monique,Kiene,NED
200684,Shi Ting,Wang,TPE
200685,Christelle,Fauche,SUI
200686,Sandra,Dopfer,AUT
200687,Katarzyna,Nowak,POL
200688,Noelia,Perez Penate,ESP
200689,Tessa,Price,RSA
200690,Kyoko,Nagatsuka,JPN
200691,Flora,Perfetti,ITA
200692,Marzia,Grossi,ITA
200693,Elena,Makarova,RUS
200694,Elly,Hakami,USA
200695,Tina,Krizan,SLO
200696,Christina,Papadaki,GRE
200697,Janette,Husarova,SVK
200698,Petra,Begerow,GER
200699,Meredith,Mcgrath,USA
200700,Silvia,Farina Elia,ITA
200701,Caroline,Vis,NED
200702,Naoko,Kijimuta,JPN
200703,Katarina,Studenikova,SVK
200704,Maria Jose,Gaidano,ARG
200705,Linda,Ferrando,ITA
200706,Catalina,Cristea,ROU
200707,Romana,Tedjakusuma,INA
200708,Sandra,Cacic,USA
200709,Rosana,De Los Rios,PAR
200710,Magdalena,Feistel,POL
200711,Tatiana,Ignatieva,BLR
200712,Katerina,Kroupova,CZE
200713,Yuka,Yoshida,JPN
200714,Yvette,Basting,NED
200715,Mariaan,De Swardt,RSA
200716,Sung Hee,Park,KOR
200717,Anne,Miller,USA
200718,Ludmila,Richterova,CZE
200719,Siobhan,Drake Brockman,AUS
200720,Dally,Randriantefy,MAD
200721,Hiromi,Nagano,JPN
200722,Francesca,Lubiani,ITA
200723,Iva,Majoli,CRO
200724,Lea,Ghirardi,FRA
200725,Sandra,Cecchini,ITA
200726,Nancy,Feber,BEL
200727,Adriana,Serra Zanetti,ITA
200728,Melanie,Schnell,AUT
200729,Lindsay,Lee Waters,USA
200730,Min,Tang,HKG
200731,Gail,Biggs,AUS
200732,Magdalena,Grzybowska,POL
200733,Trudi,Musgrave,AUS
200734,Tatjana,Jecmenica,SRB
200735,Miho,Saeki,JPN
200736,Li Ling,Chen,CHN
200737,Aleksandra,Olsza,POL
200738,Lenka,Cenkova,CZE
200739,Stephanie,De Ville,BEL
200740,Elena,Tatarkova,UKR
200741,Renee,Reid,AUS
200742,Olga,Lugina,UKR
200743,Nirupama,Sanjeev,IND
200744,Svetlana,Krivencheva,BUL
200745,Andrea,Glass,GER
200746,Sandra,Kloesel,GER
200747,Haruka,Inoue,JPN
200748,Venus,Williams,USA
200749,Samantha,Reeves,USA
200750,Karin,Miller,USA
200751,Conchita,Martinez Granados,ESP
200752,Raluca,Sandu,ROU
200753,Cindy,Watson,AUS
200754,Jill,Craybas,USA
200755,Daniela,Marzano,ITA
200756,Bunny,Bruning,USA
200757,Pamela,Bailey,AUS
200758,Rayni,Fox,USA
200759,Katja,Ebbinghaus,FRG
200760,Pauline,Elliott,NZL
200761,Michelle,Pekovitch,AUS
200762,Sharon,Pinchbeck,AUS
200763,Cathy,Drury,GBR
200764,Elena,Bovina,RUS
200765,Katalin,Marosi,HUN
200766,Jennifer,Hopkins,USA
200767,Holly,Parkinson,USA
200768,Laurence,Andretto,FRA
